"Año","precio_de_venta","km_impulsado","combustible","transmission","Dueño"
2011,260000,28481,1,2,1
2013,350000,100000,1,2,1
2013,750000,41988,2,2,1
2017,350000,7658,1,1,1
2009,180000,30375,1,2,1
2017,611000,34400,2,2,1
2017,325000,18500,1,2,1
2012,225000,48000,1,2,1
2014,300000,28942,1,1,1
2017,400000,50000,2,2,2
2012,711000,53600,2,2,1
2015,851000,53652,2,2,1
2016,375000,23000,1,2,2
2007,275000,10211,1,2,1
2005,120000,120000,2,2,3
2015,350000,120000,2,2,1
2017,409999,35000,1,2,1
2012,500000,130000,2,2,1
2013,220000,90000,2,2,2
2008,120000,80000,1,2,2
2007,70000,55000,1,2,2
2017,800000,15000,1,2,1
2014,450000,260000,2,2,2
2012,525000,145000,2,2,1
2016,300000,35000,1,2,1
2008,195000,56000,1,2,2
2007,130000,98000,2,2,2
2011,300000,135000,2,2,2
2002,120000,60000,1,2,3
2010,450000,120000,2,2,3
2010,160000,102000,2,2,2
2018,800000,35000,2,2,1
2013,100000,80000,1,2,1
2017,825000,13599,1,1,1
2015,265000,32933,1,2,1
2008,175000,54551,1,2,1
2014,250999,57112,1,2,1
2015,471000,41025,1,1,1
2019,650000,5000,2,2,1
2019,650000,5000,2,2,1
2012,225000,53122,1,2,2
2013,245000,64111,3,2,1
2011,221000,78892,1,2,1
2011,271000,74113,1,2,1
2012,290000,80000,1,2,1
2017,525000,39000,1,2,1
2012,377000,84775,1,2,1
2012,95000,20778,1,2,1
2015,763000,64441,2,2,1
2015,450000,43192,1,2,1
2014,140000,44416,1,2,1
2016,701000,79991,2,2,1
2011,277000,62601,2,2,2
2018,520000,50000,1,1,1
2017,550000,100000,2,2,1
2011,260000,97000,2,2,3
2015,420000,100000,2,2,1
2002,35000,100000,1,2,3
2018,1150000,20000,2,2,1
2017,680000,46000,1,2,1
2012,425000,40000,2,2,1
2014,450000,70000,2,2,2
2008,590000,89600,2,2,3
2017,936999,60800,1,2,1
2015,420000,104000,2,2,2
2014,450000,80000,2,2,2
2004,40000,69111,1,2,3
2014,520000,70000,2,2,2
2007,80000,120000,1,2,1
2014,55000,40000,1,2,1
2001,80000,100000,2,2,3
2019,210000,20000,1,2,1
2015,300000,50000,1,2,2
2017,260000,50000,2,2,1
2016,250000,70000,2,2,1
2008,80000,90000,2,2,1
2010,450000,150000,2,2,2
2005,310000,120000,2,2,2
2012,500000,100000,2,2,1
2016,800000,70000,2,2,2
2016,840000,70000,2,2,2
2016,490000,50000,1,2,1
2010,125000,81000,2,2,2
2012,400000,120000,2,2,3
2015,1000000,3600,2,2,1
2015,530000,14272,1,2,1
2017,840000,49213,2,2,1
2015,229999,40000,1,2,1
1998,40000,40000,1,2,4
2012,130000,80000,1,2,1
2015,200000,70000,1,2,1
2011,120000,70000,2,2,1
2003,75000,57000,1,2,1
2016,250000,120000,2,2,1
2005,100000,30000,1,2,1
2013,280000,3240,1,2,2
2015,540000,5000,1,2,1
2018,700000,10000,1,2,1
2014,350000,90000,1,2,2
2011,320000,100000,2,2,1
2016,475000,90000,2,2,1
2011,220000,140000,2,2,2
2013,210000,13770,2,2,1
2005,61000,4637,1,2,2
2009,355000,100000,2,1,2
2012,150000,60000,2,2,1
2011,133000,80000,2,2,1
2015,650000,50000,2,1,1
2014,210000,40000,1,2,2
2013,130000,93900,2,2,2
2007,60000,70000,1,2,1
2005,120000,120000,2,2,3
2017,2900000,40000,2,1,1
2005,100000,120000,2,2,2
2004,79000,80000,1,2,1
2012,120000,110000,2,2,1
2005,125000,34000,1,2,1
2013,425000,20000,2,2,1
2001,70000,117000,1,2,2
2020,619000,1500,1,2,1
2017,415000,48965,1,2,1
2014,265000,55000,1,2,1
2008,70000,60000,1,2,1
2015,281000,40000,2,2,1
2013,211000,80000,2,2,1
2018,550000,11000,1,2,1
2014,350000,110000,2,2,1
2017,420000,19890,1,1,1
2015,270000,20969,1,2,1
2016,399000,20194,1,2,1
2016,440000,34982,1,2,1
2012,250000,44588,1,2,1
2016,650000,57904,2,2,1
2015,270000,59258,1,2,1
2016,390000,60826,1,2,1
2018,1500000,50000,2,2,1
2014,225000,35000,1,2,1
2015,900000,110000,2,2,2
2018,1600000,40000,2,1,1
2019,800000,10000,1,2,1
2013,320000,50000,2,2,1
2016,300000,25000,1,2,1
2018,740000,25000,1,2,1
2019,350000,1300,1,2,1
2014,280000,40000,1,2,1
2018,675000,50000,2,1,1
2011,300000,20000,1,2,1
2011,400000,76000,2,2,3
2010,420000,100000,2,2,3
2008,300000,120000,2,2,1
2010,170000,70000,1,2,1
2014,210000,70000,1,2,3
2015,600000,60000,2,2,2
2014,260000,38000,1,2,2
2015,82000,19000,1,2,1
2016,690000,75000,2,2,1
2015,300000,70000,2,2,1
2017,1250000,30000,2,2,1
2017,799000,31707,2,2,1
2010,1000000,180000,2,2,1
2014,190000,90000,1,2,2
2014,250000,30000,2,2,1
2009,200000,60000,1,2,1
2005,300000,90000,2,2,2
2015,250000,120000,1,2,2
2008,90000,70000,1,2,3
2001,68000,70000,1,2,1
2017,500000,26500,1,2,1
2017,900000,50000,2,2,1
2007,100000,52000,1,2,2
2016,700000,160000,2,2,1
2012,1750000,115992,2,1,3
2017,290000,110000,1,2,2
2014,1050000,97000,2,2,2
2008,70000,100000,2,2,3
2016,520000,41000,2,2,1
2012,150000,90000,2,2,1
2008,120000,90000,1,2,1
2016,600000,25000,1,2,1
2010,150000,70000,2,2,2
2011,400000,60000,1,2,1
2015,310000,30000,1,2,2
2015,550000,30000,1,2,1
2016,550000,60000,2,2,1
2013,320000,73000,2,2,1
1992,50000,100000,1,2,4
2018,500000,32000,1,2,1
2018,360000,26500,1,2,1
2017,700000,50000,2,2,2
2012,700000,110000,2,2,2
2017,655000,84000,2,2,1
2017,700000,50000,2,2,2
2011,200000,110000,4,2,1
2012,375000,150000,2,2,1
2012,470000,109052,2,2,1
2015,550000,90658,2,2,1
2014,500000,110000,2,2,2
2015,210000,25000,1,2,1
2018,270000,20000,1,2,1
2010,300000,80000,1,2,1
2007,80000,60000,1,2,3
2013,1451000,81000,2,1,1
2018,1085000,15000,2,2,1
2009,245000,75000,2,1,1
2017,700000,25552,1,2,2
2018,300000,20000,1,2,1
2017,350000,80000,2,2,1
2017,635000,25000,1,1,1
2012,325000,40700,1,2,1
2017,1150000,65500,2,1,1
2008,110000,42000,1,2,1
2018,890000,8000,1,2,1
2007,73000,80000,1,2,2
2014,170000,77000,1,2,1
2016,750000,6000,1,2,1
2017,280000,28838,1,2,1
2018,690000,11174,1,2,1
2008,130000,120000,1,2,1
2007,73000,80000,1,2,2
2007,85000,85000,1,2,2
2018,1575000,10000,1,1,1
2013,325000,105000,2,2,1
1998,85000,120000,1,2,2
2018,860000,30000,2,2,2
2017,690000,41000,2,2,1
2013,650000,54000,2,2,1
2014,375000,40000,2,2,1
2013,525000,71000,2,2,1
2016,330000,72500,1,2,1
2013,280000,76600,1,2,1
2014,470000,40000,1,2,1
2011,350000,110000,2,2,1
2012,480000,63000,1,2,1
2016,620000,60000,2,2,1
2014,250000,58000,1,2,1
2010,78692,80000,1,2,2
2012,350000,80000,2,2,1
2013,250000,70000,1,2,2
2011,260000,97700,1,2,4
2016,640000,36000,2,2,2
2008,220000,90000,2,2,2
2015,465000,130000,2,2,1
2010,229999,120000,2,2,2
2018,425000,15000,1,2,1
2008,95000,120000,1,2,3
2012,170000,170000,4,2,3
2016,229999,37500,1,2,2
1999,45000,50000,1,2,3
2007,479000,145000,1,2,3
2016,370000,60000,1,2,1
2016,340000,30000,1,2,1
2016,620000,35000,1,2,1
2012,270000,60000,2,2,1
2018,400000,35000,2,2,1
2015,260000,40000,1,2,1
2003,48000,50000,1,2,4
2015,100000,23800,1,2,2
2015,490000,70000,2,2,1
2010,120000,90000,4,2,2
2008,125000,102000,1,2,2
2013,160000,80000,1,2,1
2019,190000,5000,1,2,1
2019,1700000,10000,2,2,1
2011,250000,50000,1,2,1
2019,500000,15000,1,2,1
2008,400000,35000,1,2,2
2011,500000,20000,1,2,1
2014,1800000,99000,2,1,1
2008,320000,90000,1,2,1
2007,250000,47000,1,1,1
2010,105000,90000,2,2,3
2018,550000,20000,1,2,1
2019,600000,1100,1,1,1
2020,210000,40000,1,2,1
2012,210000,15000,1,2,1
2009,150000,40000,1,2,1
2008,125000,60000,1,2,1
2016,380000,20000,1,2,1
2019,600000,5000,1,2,1
2016,490000,27000,1,2,1
2018,545000,38000,2,2,2
2015,250000,25000,1,2,1
2020,1050000,1100,1,2,1
2007,100000,100000,1,2,1
2014,250000,100000,2,2,2
2007,100000,110000,1,2,1
2016,350000,60000,2,2,2
2012,370000,70000,2,2,2
2004,121000,110000,1,2,2
2017,570000,44077,1,1,1
2017,785000,24000,2,2,1
2018,850000,30000,2,2,1
2016,375000,30000,1,2,2
2017,619000,40000,1,2,1
2011,335000,90000,2,2,2
2006,500000,50000,2,2,1
2003,60000,100000,1,2,2
2010,130000,50000,1,2,2
2015,210000,210000,2,2,1
2019,1900000,20000,2,2,1
2013,270000,70000,2,2,2
2010,225000,100000,1,2,2
2011,150000,160000,1,2,2
2013,173000,70000,2,2,1
2018,4800000,9422,2,1,1
2017,710000,110000,2,1,1
2019,1500000,20000,1,2,1
2017,550000,20000,1,2,1
2008,58000,70000,1,2,2
2012,1200000,60000,1,1,3
2013,500000,150000,2,2,1
2009,120000,83000,1,2,2
2012,300000,250000,2,2,1
2018,300000,30000,1,2,1
2015,295000,21000,1,2,1
2018,587000,80000,3,2,1
2012,430000,50000,1,2,2
2007,123000,50000,1,2,2
2012,450000,48500,2,1,2
2007,130000,60000,1,2,3
2010,110000,90000,2,2,2
2010,200000,240000,2,2,3
2015,320000,70000,1,2,2
2014,300000,50000,1,2,1
2016,350000,110000,1,2,1
2018,800000,50000,1,2,1
2016,270000,175000,2,2,1
2017,540000,60000,1,2,1
2011,160000,60000,3,2,2
2013,340000,100000,2,2,2
2017,350000,40000,1,2,2
2011,300000,100000,2,2,1
2013,330000,63000,2,2,1
2016,325000,80000,3,2,2
2013,250000,55000,2,2,1
2013,250000,55000,2,2,1
2015,240000,60000,1,2,1
2020,545000,5000,1,2,1
2015,300000,48000,1,2,1
2010,130000,80000,1,2,2
2017,240000,50000,1,2,1
2018,360000,15000,1,2,1
2012,250000,70000,2,2,1
2019,475000,105000,2,1,1
2016,600000,50000,2,2,2
2010,150000,80000,2,2,2
2017,700000,50000,2,2,1
2016,1290000,5000,2,2,1
2004,80000,58000,1,2,1
2015,425000,12000,1,2,1
2018,500000,10000,1,1,1
2012,193000,45000,1,2,2
2015,800000,10000,1,2,1
2008,150000,50000,1,2,1
2002,80000,40000,1,2,4
2010,130000,100000,2,2,3
2012,280000,80000,2,2,2
2011,229999,110000,2,2,2
2008,80000,120000,1,2,1
2010,70000,10000,1,2,1
2013,240000,60000,2,2,2
2010,380000,72000,2,2,2
2013,240000,60000,2,2,2
2006,80000,110000,1,2,1
2013,265000,50000,1,2,1
2018,320000,25000,1,2,1
2014,500000,120000,2,2,3
2016,1300000,55000,2,2,1
2018,1500000,35000,2,2,1
2016,1800000,110000,2,1,1
2014,600000,80000,2,2,2
2018,420000,80000,1,2,1
2009,140000,120000,1,2,1
2010,300000,100000,2,2,2
2006,100000,60000,1,2,2
2017,350000,25000,1,2,1
2018,850000,19000,1,2,1
2008,140000,54000,1,2,1
2015,550000,17100,1,2,2
2017,525000,19000,1,1,1
2015,470000,146000,2,2,1
2013,900000,98000,2,1,1
2011,500000,224642,2,2,2
1998,80000,120000,1,2,2
2011,175000,175000,2,2,1
2017,1350000,15000,2,1,2
2017,800000,50000,2,2,1
2017,250000,15000,1,2,1
2018,700000,25000,1,1,1
2019,800000,25000,2,2,1
2013,660000,69000,2,2,1
2015,465000,60000,2,2,3
2006,180000,222435,2,2,2
2017,600000,66000,2,2,3
2010,150000,110000,1,2,1
2014,450000,78000,2,2,2
2019,721000,10000,1,2,1
2018,300000,35000,1,2,1
2019,1000000,10000,2,2,1
2016,300000,40000,1,2,1
2013,450000,120000,2,2,1
1997,79000,70000,1,1,1
2017,545000,40000,2,2,1
2018,844999,20000,2,2,1
2016,700000,93000,2,2,1
2016,650000,159000,2,2,1
2014,525000,75000,2,2,2
2006,110000,101100,2,2,3
2011,180000,66000,2,2,1
2012,280000,30000,1,2,2
2019,400000,10000,1,2,1
2012,625000,126000,2,2,2
2015,535000,70000,2,2,1
2017,459999,50000,2,2,1
2010,300000,100000,2,2,1
2007,280000,60000,1,1,1
2014,500000,70000,1,2,1
2019,1200000,1200,1,2,1
2016,300000,40000,1,2,1
2011,180000,80000,2,2,3
2011,180000,134444,1,1,2
2009,78000,120000,1,2,2
2011,160000,120000,2,2,1
2014,600000,238000,2,2,1
2008,110000,100000,1,2,2
2011,450000,110000,2,2,2
2019,1350000,35000,2,2,1
2003,120000,165000,1,2,2
2018,1040000,42000,2,2,1
2014,390000,70000,2,2,2
2011,65000,60000,1,2,2
2013,320000,115000,2,2,3
2017,720000,70000,2,2,1
2007,220000,80000,1,2,2
2011,225000,65000,1,2,1
2010,200000,150000,2,2,2
2015,434999,75000,2,2,2
2012,300000,63700,2,2,1
2018,700000,74800,2,2,1
2009,500000,105000,2,2,2
2016,500000,40000,2,2,1
2016,400000,90000,2,2,2
2015,825000,75000,2,2,2
2018,720000,15000,2,2,1
2009,110000,30000,1,2,2
2014,600000,100000,2,2,2
2009,275000,155000,2,1,3
2012,2349000,149000,2,1,2
2017,740000,60000,2,2,1
2017,800000,90000,2,2,1
2019,1100000,100000,2,2,1
2012,750000,100000,2,1,2
2012,200000,90000,1,2,2
2009,210000,75000,2,2,1
2009,270000,120000,2,2,2
2016,630000,90000,2,2,2
2015,375000,55000,1,2,1
2010,300000,70000,2,2,1
2016,580000,95000,2,2,2
2014,550000,50000,2,2,1
2016,750000,50000,2,2,1
2014,250000,60516,1,2,1
2012,434999,235000,2,2,2
2007,900000,76731,2,1,1
2016,685000,64000,2,2,1
2014,540000,65000,2,2,1
2014,610000,77000,2,2,1
2011,254999,24000,1,2,1
2014,280000,63840,1,2,1
2017,370000,25000,1,2,1
2011,459999,76400,2,2,2
1998,42000,70000,1,2,3
1998,42000,70000,1,2,3
2011,190000,80000,2,2,3
2010,165000,100000,1,2,4
2017,710000,40000,2,2,1
2018,1200000,15000,1,2,1
2011,229999,70000,1,2,1
2018,310000,15000,1,2,1
2015,320000,40000,1,2,1
2006,100000,54000,1,2,1
2009,160000,90000,2,2,1
2007,60000,52000,1,2,1
2012,100000,200000,2,2,3
2016,350000,35000,2,2,2
2017,700000,60000,2,2,1
2017,300000,31489,1,2,1
2018,830000,40000,2,2,1
2013,220000,110000,2,2,1
2009,130000,50000,2,2,1
2012,330000,44000,1,2,1
2010,254999,90000,1,2,2
2014,600000,50000,1,2,2
2012,210000,50000,1,2,1
2007,120000,81366,1,2,1
2006,95000,110000,1,2,1
2006,229999,300000,2,2,1
2010,229999,70000,1,2,1
2013,400000,100000,2,2,1
2005,300000,70000,1,2,2
2013,300000,50000,2,2,1
2009,80000,180000,2,2,2
2008,80000,50000,1,2,2
2007,100000,90000,1,2,2
2012,300000,110000,2,2,1
2018,700000,26000,1,1,1
2016,975000,65000,2,2,1
2009,500000,130000,2,2,1
2013,550000,75000,2,2,2
2014,550000,110000,2,2,2
2014,240000,50000,1,2,1
1997,50000,80000,1,2,2
2009,120000,80000,1,2,2
2013,900000,60000,1,2,2
2009,250000,90000,1,2,2
2017,280000,36000,1,2,1
2010,85000,87000,2,2,1
2011,90000,80000,2,2,1
2015,500000,50000,2,2,1
2013,200000,60000,1,2,1
2015,250000,50000,1,2,1
2014,185000,40000,2,2,3
2008,100000,60000,1,2,2
2015,610000,55000,2,2,1
2012,290000,80000,2,2,1
2012,300000,295000,2,2,1
2015,225000,80000,1,2,1
2017,320000,50000,1,2,2
2012,135000,158000,2,2,3
2006,400000,400000,2,2,3
2016,400000,25000,1,2,1
2017,570000,35000,1,2,1
2018,500000,12000,1,2,1
2015,130000,70000,1,2,1
2018,360000,4000,1,2,1
2017,530000,10832,1,2,1
2009,250000,50000,1,2,1
2016,600000,19495,1,2,1
2013,570000,62668,2,2,1
2013,850000,85710,2,2,1
2011,250000,55130,2,2,2
2014,580000,63356,2,2,2
2012,1680000,129627,2,2,1
2010,180000,15000,1,2,1
2017,300000,50000,1,2,1
2012,269000,70000,1,2,2
2018,231999,20000,1,2,1
2011,150000,60000,1,2,3
2017,495000,5000,1,2,1
2014,700000,15000,1,2,1
2018,400000,4400,1,2,2
2019,599000,15000,2,2,3
2013,421000,45000,2,2,1
2018,841000,1000,2,2,1
2014,295000,38500,1,2,1
2011,220000,25000,1,2,1
2013,250000,35000,2,2,1
2009,1100000,110000,2,2,2
2012,300000,40000,1,2,1
2007,80000,110000,1,2,2
2013,215000,20000,2,2,3
2012,245000,14987,1,2,1
2016,650000,25061,2,2,1
2017,760000,42494,2,2,1
2014,395000,44875,2,2,1
2014,280000,89741,2,2,2
2016,495000,65000,2,2,1
2016,525000,35000,2,2,1
2009,420000,347089,2,2,1
2010,210000,34500,2,2,1
2018,650000,30000,1,2,1
2018,2300000,39000,2,1,1
2019,525000,16000,2,2,1
2010,195000,80000,3,2,2
2016,650000,60000,2,2,1
2015,540000,110000,2,2,1
2014,180000,61000,1,2,1
2017,750000,29000,2,2,1
2018,980000,50000,2,2,1
2014,250000,90000,2,2,1
2018,550000,35000,1,1,1
2015,509999,43000,1,2,2
2017,320000,50000,1,2,1
2016,275000,25000,1,2,1
2013,550000,222252,2,2,1
2009,145000,50000,1,2,2
2013,250000,80000,2,2,1
2012,520000,35000,2,2,1
2007,95000,85000,1,2,2
2011,725000,110000,2,2,3
2006,55000,70000,1,2,2
2014,600000,100000,2,2,1
2013,330000,120000,2,2,2
2015,470000,89000,2,2,1
2013,365000,120000,2,2,1
2013,250000,40000,1,2,2
2017,430000,17000,1,2,1
2013,400000,125000,2,2,2
2015,615000,110000,1,2,2
2011,150000,120000,2,2,2
2014,240000,90000,2,2,1
2014,800000,90000,2,2,1
2015,240000,110000,4,2,1
2014,600000,87000,2,2,2
2014,800000,15000,2,2,1
2015,160000,70000,1,2,1
2012,350000,38000,1,2,1
2011,300000,64000,1,2,2
2015,399000,55250,2,2,1
2011,300000,110000,2,2,1
2012,150000,70000,1,1,1
2010,320000,60000,2,2,3
2018,1280000,17000,2,2,1
2017,300000,13000,1,2,2
2016,1000000,60000,2,2,1
2012,1090000,120000,2,2,2
2012,450000,97000,2,2,2
2007,60000,130000,1,2,2
2013,500000,50000,1,2,1
2012,200000,120000,2,2,2
2015,650000,68000,2,2,1
2006,60000,100000,1,2,2
2013,250999,80000,2,2,1
2012,185000,67000,3,2,2
2015,155000,60000,1,2,1
2019,600000,5000,1,2,1
2016,300000,20000,1,2,1
2018,850000,12500,1,2,1
2019,470000,4000,3,2,1
2019,600000,25000,1,2,1
2013,700000,70000,2,2,2
2007,70000,162000,4,2,1
2010,1250000,205000,2,2,2
2008,650000,70000,1,1,3
2018,450000,70000,2,2,2
2014,750000,100000,2,2,2
2013,775000,70000,2,2,2
2011,800000,220000,2,2,1
2015,360000,80000,1,2,2
2010,250000,120000,2,2,1
2017,1490000,22038,2,2,1
2013,600000,80000,2,2,1
2010,120000,90000,1,2,1
2012,320000,140000,2,2,2
2011,400000,120000,2,2,2
2015,302000,60000,2,2,1
2011,130000,80000,2,2,2
2014,150000,60000,1,2,2
2012,200000,90000,2,2,2
2012,950000,80000,2,2,1
2008,120000,175000,2,2,2
2019,1400000,10000,2,2,1
2017,620000,65000,1,2,1
2012,449000,90000,2,2,1
2007,100000,70000,1,2,1
2018,600000,2500,1,2,1
2016,700000,35000,2,2,1
2012,250000,40000,2,2,1
2018,550000,63000,1,2,1
2013,675000,88000,2,1,1
2015,530000,55000,2,2,1
2014,325000,71014,2,2,1
2015,370000,60000,2,2,1
2014,360000,70000,2,2,1
2012,650000,60000,1,1,1
2012,199000,92000,2,2,3
2014,285000,89126,2,2,1
2009,260000,134000,2,1,1
2019,869999,15000,1,1,1
2016,425000,42500,2,2,1
2012,490000,42000,2,1,1
2015,750000,70000,2,1,2
2004,125000,110000,1,2,3
2014,221000,131365,2,2,1
2016,724000,48980,2,1,1
2014,440000,46000,1,1,1
2009,70000,60000,1,2,3
2015,511000,58000,2,2,1
2016,790000,22000,2,2,1
2017,640000,37000,1,2,1
2009,120000,70000,1,2,4
2012,126000,98900,2,2,3
2012,120000,125000,2,2,1
2017,650000,60000,2,2,1
2014,450000,80000,1,2,2
2010,110000,80000,3,2,4
2017,600000,40000,2,2,1
2012,620000,80000,2,2,2
2014,600000,30000,2,2,1
2018,795000,35000,2,2,1
2011,300000,180000,2,2,3
2015,495000,60000,2,2,1
2013,1580000,86000,2,1,1
2015,1750000,127643,2,1,1
2018,1350000,34000,2,1,1
2014,350000,145000,2,2,1
2018,300000,25000,1,1,1
2018,400000,54000,1,2,2
2014,1750000,102354,2,1,1
1999,70000,70000,1,2,4
2018,500000,70000,2,2,1
2017,2575000,36000,2,1,1
2014,345000,58000,1,2,1
2013,220000,100000,2,2,1
2014,1850000,62237,1,1,1
2005,114999,90000,1,2,2
1999,50000,100000,1,2,2
2017,585000,14000,1,2,1
2018,950000,21394,2,2,1
2018,625000,13800,1,1,1
2017,1035000,23000,1,1,1
2015,310000,32686,1,2,1
2017,600000,99700,2,2,1
2019,3100000,5000,2,1,1
2014,650000,49654,2,2,1
2016,550000,45457,1,2,1
2017,1260000,39221,2,2,1
2016,660000,48220,1,2,1
2017,700000,11114,1,2,1
2008,235000,60208,2,2,1
2013,475000,80000,2,2,1
2008,795000,98600,2,1,1
2016,8900000,13000,1,1,1
2015,3200000,30000,2,1,1
2019,1860000,18000,1,1,1
2010,4200000,100000,2,1,1
2015,850000,58000,1,1,1
2017,585000,85441,2,2,1
2015,380000,64541,2,2,1
2019,650000,35000,2,2,1
2018,600000,30000,1,2,1
2017,434999,16267,1,2,1
2013,525000,71500,2,2,1
2019,4800000,12999,2,1,1
2008,160000,80000,1,2,1
2007,160000,90000,1,2,2
2012,125000,28000,1,2,1
2015,430000,200000,2,2,1
2017,900000,14700,1,2,1
2000,61000,90000,1,2,2
2017,400000,50000,1,2,1
2009,150000,100000,1,2,2
2019,950000,24000,1,1,1
2013,220000,100000,2,2,1
2007,110000,90000,1,2,1
2015,375000,30000,1,2,1
2017,350000,80000,1,2,1
2012,310000,92686,2,2,2
2010,90000,300000,1,2,3
2011,350000,90000,1,2,2
2003,100000,60000,1,2,1
2017,1300000,40000,2,1,1
2004,70000,90000,1,2,4
2013,225000,80000,2,2,1
2002,145000,100000,1,2,1
2018,930000,20000,2,2,1
2019,550000,51000,1,2,1
2008,85000,120000,1,2,2
2014,280000,55000,1,2,1
2018,360000,6000,1,2,1
2011,150000,40000,1,2,2
2017,900000,15000,1,1,1
2005,120000,50000,2,2,2
2010,215000,90000,1,2,2
2013,550000,38500,2,2,1
2018,775000,35000,1,2,1
2001,409999,49359,1,2,3
2005,65000,70000,1,2,2
2008,200000,90000,1,2,2
2010,240000,50000,1,2,2
2012,800000,108731,2,2,1
2010,400000,120000,2,2,1
2016,500000,60000,2,2,1
2007,150000,90000,2,2,3
2014,500000,140000,2,2,2
2014,320000,80000,1,2,1
2013,300000,90000,2,2,1
2017,650000,40000,2,2,1
2018,285000,14000,1,2,1
2012,360000,70000,2,2,2
2009,450000,55000,1,2,2
2011,175000,60000,1,2,3
2011,350000,74000,2,2,2
2020,530000,45000,2,2,1
2017,1025000,38000,2,2,1
2017,950000,24000,2,2,1
2017,725000,29976,1,2,1
2017,919999,41000,1,2,1
2018,700000,15000,2,2,1
2017,725000,36000,2,2,1
2017,840000,30646,1,2,1
2015,365000,23600,1,2,1
2014,665000,71318,2,2,1
2003,50000,78098,1,2,1
2014,225000,30000,1,2,1
2012,229999,45000,1,2,2
2008,145000,67000,1,2,1
2018,624000,14681,2,2,1
2015,500000,25000,1,2,1
2017,750000,18054,1,2,1
2015,785000,40000,2,2,1
2011,225000,30000,1,2,1
2017,300000,80000,2,2,1
2016,680000,20000,2,2,1
2016,700000,40000,2,2,1
2011,180000,120000,2,2,1
2008,270000,120000,2,2,2
2010,370000,97000,1,2,2
2018,1100000,70000,2,2,1
2004,120000,120000,2,2,2
2013,430000,88000,2,2,2
2014,550000,38406,2,2,1
2014,320000,54350,1,2,1
2015,390000,32260,1,2,1
2014,550000,58231,2,2,1
2012,370000,59858,1,2,1
2010,190000,73350,1,2,1
2013,509999,88473,2,2,1
2013,450000,96987,1,2,1
2016,5500000,77350,2,1,1
2015,550000,61187,2,2,1
2009,400000,68350,2,2,1
2015,585000,81150,2,2,1
2019,500000,30000,1,2,1
2015,800000,30000,1,2,1
2009,265000,120000,2,2,2
2012,175000,180000,2,2,1
2007,125000,50000,1,2,2
2010,165000,80000,2,2,1
2011,150000,280000,2,2,1
2015,1025000,90000,2,2,2
2014,1030000,250000,2,2,2
2012,380000,90000,2,2,4
2010,250000,110000,2,2,3
2000,85000,80000,1,2,2
2016,500000,35000,2,2,1
2018,350000,15000,1,2,1
2010,190000,52000,1,2,2
2009,940000,140000,2,2,1
2013,475000,60000,1,2,2
2018,300000,17000,1,2,1
2016,250000,70000,1,2,3
2001,93000,97000,1,2,4
2012,290000,125000,2,2,2
2010,75000,300000,1,2,3
2015,1000000,120000,2,2,2
2015,550000,87000,2,2,1
2010,285000,75000,2,2,3
2014,240000,60000,1,2,2
2015,850000,25000,1,2,1
2016,650000,26000,1,2,1
2017,365000,78000,3,2,1
2016,650000,26000,1,2,1
2015,260000,35000,1,2,1
2014,250000,100000,1,2,1
2007,550000,80000,1,2,2
2004,70000,90000,1,2,4
2013,225000,80000,2,2,1
2002,145000,100000,1,2,1
2018,930000,20000,2,2,1
2019,550000,51000,1,2,1
2008,85000,120000,1,2,2
2014,280000,55000,1,2,1
2018,360000,6000,1,2,1
2011,150000,40000,1,2,2
2017,900000,15000,1,1,1
2005,120000,50000,2,2,2
2010,215000,90000,1,2,2
2013,550000,38500,2,2,1
2018,775000,35000,1,2,1
2001,409999,49359,1,2,3
2005,65000,70000,1,2,2
2008,200000,90000,1,2,2
2010,240000,50000,1,2,2
2012,800000,108731,2,2,1
2010,400000,120000,2,2,1
2012,229999,40000,1,2,2
2014,580000,120000,2,2,1
2005,175000,100000,1,2,4
2012,250000,110000,2,2,4
2014,320000,80000,1,2,1
2013,300000,90000,2,2,1
2017,800000,60000,2,2,1
2009,245000,75000,2,1,1
2018,300000,20000,1,2,1
2017,350000,80000,2,2,1
2006,70000,105700,1,2,1
2017,430999,14000,1,2,1
2010,80000,70000,1,2,1
2019,335000,28000,1,2,1
2017,350000,51000,1,2,1
2018,315000,56000,1,2,1
2019,1100000,35000,2,1,1
2005,80000,24000,1,2,1
2014,285000,64000,1,2,2
2009,100000,120000,2,2,3
2011,225000,37091,1,2,1
2017,4500000,80000,2,1,1
2018,320000,38900,1,2,3
2016,1249000,60000,2,2,3
2008,120000,110000,1,2,3
2011,200000,100000,2,2,2
2016,1151000,85000,2,2,1
2012,120000,140000,2,2,1
2017,220000,20000,1,2,1
2017,750000,15000,1,2,1
2018,784000,40000,2,2,1
2017,500000,50000,1,2,1
2018,350000,20000,1,2,1
2018,1400000,50000,2,1,1
2014,600000,100000,2,2,2
2019,525000,9400,1,2,1
2017,930000,12000,2,2,1
2017,440000,14100,3,2,1
2016,434999,21000,1,2,1
2011,250000,28000,1,2,1
2017,940000,35000,2,2,1
2017,1050000,31000,2,1,1
2016,825000,58000,2,2,1
2012,229999,25000,1,2,1
2011,375000,72000,1,2,1
2013,640000,89000,2,2,1
2012,800000,160000,2,2,1
2012,130000,30000,1,2,3
2014,300000,37555,1,2,1
2018,440000,14000,1,2,1
